iter	Logloss
0	0.6207376872
1	0.5621709473
2	0.51146604
3	0.4618145793
4	0.4214163818
5	0.3912716227
6	0.365742277
7	0.3425004395
8	0.3225401937
9	0.3038197062
10	0.2903322021
11	0.2771040324
12	0.2647725993
13	0.2540509542
14	0.2473603536
15	0.2400054545
16	0.2323625549
17	0.2274934326
18	0.2221810018
19	0.2184954081
20	0.2149136678
21	0.2115570719
22	0.2083434977
23	0.2053422424
24	0.2031599589
25	0.2008161316
26	0.1985897237
27	0.1966935506
28	0.1950553874
29	0.1938553324
30	0.1924706706
31	0.1915128682
32	0.1904796509
33	0.1896914286
34	0.1890221273
35	0.1881977783
36	0.1874376628
37	0.1869029826
38	0.1862831624
39	0.1858294047
40	0.1853666016
41	0.1849709513
42	0.1845584452
43	0.184108195
44	0.1837292338
45	0.1833989522
46	0.1830291789
47	0.1828057963
48	0.1824531189
49	0.1821585612
50	0.1819334045
51	0.1817033915
52	0.181490391
53	0.1813252991
54	0.1811233704
55	0.1809331645
56	0.1807858175
57	0.1806440877
58	0.1805429138
59	0.1804115173
60	0.1802331014
61	0.1801307149
62	0.1800039591
63	0.1798926636
64	0.1797964742
65	0.1797076986
66	0.1796003194
67	0.179508608
68	0.1793949198
69	0.1792856567
70	0.1792138814
71	0.1790906291
72	0.1790103516
73	0.1789204447
74	0.1788770691
75	0.1787947266
76	0.1787042114
77	0.1786036479
78	0.1785373962
79	0.1784661336
80	0.1784220947
81	0.1783575989
82	0.1783072774
83	0.1782615804
84	0.1782094828
85	0.178130306
86	0.1780864319
87	0.1780081014
88	0.1779530579
89	0.1779230469
90	0.1778670593
91	0.1778263835
92	0.1777685303
93	0.1777107076
94	0.1776736715
95	0.1776228739
96	0.1775564799
97	0.1775109212
98	0.1774611104
99	0.1774179687
100	0.1773382304
101	0.177264683
102	0.1772152791
103	0.1771887573
104	0.1771564331
105	0.177104598
106	0.1770750264
107	0.1770197306
108	0.1769825989
109	0.1769375061
110	0.1769092224
111	0.17688467
112	0.1768357381
113	0.1767975016
114	0.1767531067
115	0.1766934428
116	0.1766701762
117	0.1766315552
118	0.1766122782
119	0.1765621785
120	0.1765301005
121	0.176494401
122	0.1764696411
123	0.1764403687
124	0.1764220235
125	0.1763817362
126	0.1763395081
127	0.1763078796
128	0.1762888509
129	0.1762623535
130	0.1762483683
131	0.1762240824
132	0.1762050049
133	0.1761734049
134	0.1761503398
135	0.1761226359
136	0.1760922709
137	0.1760734639
138	0.1760407247
139	0.1760162679
140	0.1759966125
141	0.1759826274
142	0.1759584188
143	0.1759317159
144	0.1758939718
145	0.1758843262
146	0.1758471049
147	0.1758220052
148	0.1757965312
149	0.1757823751
150	0.1757455465
151	0.1757226725
152	0.1756904948
153	0.1756792948
154	0.1756536092
155	0.1756264119
156	0.1756080261
157	0.1755977559
158	0.1755668722
159	0.1755197266
160	0.1755064921
161	0.1754821879
162	0.1754597432
163	0.1754477743
164	0.1754071025
165	0.1753809245
166	0.1753601156
167	0.1753430522
168	0.1753285156
169	0.1753078288
170	0.1752849121
171	0.1752733032
172	0.1752622498
173	0.1752575175
174	0.1752445414
175	0.1752320679
176	0.1752169535
177	0.1752004333
178	0.1751763957
179	0.1751509318
180	0.1751349223
181	0.1751048767
182	0.1750885844
183	0.1750720947
184	0.1750513021
185	0.175039738
186	0.1750106913
187	0.174981665
188	0.1749469157
189	0.1749380208
190	0.1749237651
191	0.1749159058
192	0.1749017904
193	0.1748740072
194	0.1748699402
195	0.174837618
196	0.1748137431
197	0.1747957499
198	0.1747839823
199	0.1747648824
200	0.1747609111
201	0.1747467428
202	0.1747385925
203	0.1747181376
204	0.1747016907
205	0.1746772298
206	0.1746703125
207	0.1746577718
208	0.1746436605
209	0.1746193014
210	0.174601414
211	0.1745821655
212	0.1745730794
213	0.1745578023
214	0.1745449259
215	0.1745289103
216	0.1745269328
217	0.1745018005
218	0.1744796204
219	0.1744560201
220	0.1744236023
221	0.1743874817
222	0.1743639994
223	0.1743470968
224	0.1743361715
225	0.174316274
226	0.1743048462
227	0.1743014119
228	0.1742907125
229	0.1742425435
230	0.1742353333
231	0.1742075785
232	0.1741854594
233	0.1741630595
234	0.1741434428
235	0.1741112813
236	0.1740748962
237	0.1740626831
238	0.1740564718
239	0.1740182922
240	0.1739964579
241	0.1739521545
242	0.1739411051
243	0.1739237752
244	0.1739225016
245	0.173917511
246	0.1738868734
247	0.1738661519
248	0.1738451457
249	0.1738357503
250	0.1738190938
251	0.173803831
252	0.1737952576
253	0.1737581645
254	0.1737301676
255	0.1737171712
256	0.1736994934
257	0.1736889791
258	0.1736662252
259	0.1736262756
260	0.1735966736
261	0.1735902039
262	0.1735732727
263	0.1735444621
264	0.1735292216
265	0.173517806
266	0.1734980021
267	0.1734818827
268	0.1734662557
269	0.1734465129
270	0.1734238322
271	0.1734021505
272	0.1733733419
273	0.1733697754
274	0.1733288615
275	0.1732949707
276	0.1732883504
277	0.1732534648
278	0.1732271688
279	0.1731995768
280	0.1731968974
281	0.173178066
282	0.1731470154
283	0.1731206563
284	0.173096814
285	0.1730955912
286	0.1730754028
287	0.1730604513
288	0.1730365641
289	0.1730089945
290	0.1729942017
291	0.1729682638
292	0.1729637533
293	0.1729627014
294	0.1729428792
