iter	Passed	Remaining
0	46	13807
1	68	10073
2	98	9632
3	133	9705
4	165	9590
5	212	10231
6	254	10480
7	290	10428
8	354	11261
9	400	11414
10	443	11451
11	472	11139
12	508	11024
13	537	10778
14	565	10553
15	602	10509
16	638	10442
17	680	10467
18	717	10421
19	751	10327
20	782	10212
21	820	10187
22	860	10179
23	902	10194
24	938	10140
25	976	10101
26	1010	10031
27	1047	9988
28	1078	9891
29	1110	9810
30	1151	9804
31	1187	9763
32	1217	9668
33	1251	9608
34	1285	9549
35	1310	9430
36	1345	9382
37	1378	9323
38	1413	9280
39	1447	9229
40	1474	9133
41	1510	9097
42	1546	9063
43	1581	9023
44	1617	8985
45	1648	8926
46	1686	8896
47	1719	8849
48	1752	8797
49	1790	8771
50	1820	8710
51	1855	8669
52	1888	8622
53	1919	8564
54	1954	8528
55	1989	8489
56	2020	8437
57	2053	8391
58	2085	8340
59	2119	8300
60	2152	8256
61	2188	8223
62	2221	8179
63	2254	8139
64	2289	8101
65	2320	8050
66	2358	8025
67	2392	7987
68	2426	7947
69	2457	7900
70	2491	7861
71	2526	7826
72	2551	7760
73	2589	7732
74	2632	7722
75	2668	7689
76	2702	7652
77	2739	7621
78	2773	7583
79	2806	7543
80	2870	7583
81	2925	7599
82	3027	7731
83	3084	7747
84	3133	7741
85	3190	7754
86	3237	7741
87	3276	7706
88	3305	7651
89	3337	7602
90	3379	7574
91	3405	7513
92	3439	7471
93	3473	7427
94	3520	7411
95	3558	7376
96	3607	7363
97	3651	7339
98	3695	7317
99	3731	7276
100	3765	7232
101	3806	7203
102	3837	7153
103	3875	7117
104	3901	7060
105	3933	7014
106	3971	6978
107	4003	6932
108	4045	6903
109	4085	6870
110	4128	6843
111	4167	6809
112	4208	6777
113	4239	6730
114	4267	6679
115	4293	6625
116	4321	6574
117	4347	6521
118	4371	6465
119	4395	6410
120	4427	6366
121	4461	6326
122	4495	6286
123	4536	6255
124	4560	6202
125	4597	6166
126	4645	6145
127	4695	6125
128	4748	6110
129	4802	6095
130	4862	6087
131	4907	6060
132	4951	6031
133	4990	5996
134	5030	5962
135	5073	5931
136	5107	5890
137	5152	5861
138	5191	5826
139	5221	5780
140	5245	5728
141	5266	5674
142	5293	5626
143	5320	5578
144	5343	5528
145	5365	5475
146	5388	5425
147	5414	5377
148	5443	5334
149	5475	5293
150	5519	5263
151	5558	5229
152	5605	5202
153	5637	5161
154	5692	5141
155	5731	5106
156	5777	5078
157	5817	5044
158	5865	5016
159	5905	4982
160	5937	4942
161	5975	4906
162	6006	4863
163	6038	4823
164	6084	4793
165	6126	4761
166	6172	4731
167	6211	4695
168	6251	4661
169	6280	4617
170	6310	4575
171	6336	4531
172	6362	4487
173	6390	4443
174	6419	4402
175	6482	4382
176	6583	4388
177	6649	4370
178	6698	4341
179	6752	4313
180	6812	4290
181	6865	4262
182	6923	4237
183	6967	4203
184	7007	4166
185	7053	4133
186	7089	4094
187	7126	4055
188	7164	4018
189	7195	3976
190	7229	3936
191	7260	3894
192	7296	3856
193	7332	3817
194	7374	3782
195	7413	3744
196	7451	3706
197	7485	3666
198	7515	3625
199	7553	3587
200	7594	3551
201	7623	3510
202	7663	3473
203	7708	3438
204	7748	3401
205	7788	3365
206	7829	3328
207	7866	3290
208	7896	3249
209	7925	3207
210	7961	3169
211	7998	3131
212	8039	3095
213	8081	3058
214	8119	3021
215	8159	2984
216	8191	2944
217	8225	2905
218	8256	2865
219	8293	2827
220	8325	2787
221	8362	2749
222	8392	2709
223	8426	2670
224	8462	2632
225	8493	2593
226	8530	2555
227	8564	2516
228	8603	2479
229	8644	2442
230	8682	2405
231	8716	2366
232	8754	2329
233	8788	2290
234	8814	2250
235	8851	2212
236	8885	2174
237	8918	2136
238	8948	2096
239	8981	2058
240	9022	2021
241	9055	1983
242	9089	1945
243	9123	1906
244	9148	1867
245	9181	1828
246	9213	1790
247	9246	1752
248	9281	1714
249	9311	1675
250	9350	1639
251	9383	1601
252	9417	1563
253	9453	1525
254	9482	1487
255	9519	1450
256	9549	1411
257	9578	1373
258	9617	1336
259	9645	1298
260	9683	1261
261	9713	1223
262	9748	1186
263	9784	1148
264	9815	1111
265	9852	1074
266	9883	1036
267	9919	999
268	9953	962
269	9985	924
270	10022	887
271	10051	849
272	10090	813
273	10123	775
274	10160	738
275	10196	701
276	10225	664
277	10264	627
278	10294	590
279	10328	553
280	10361	516
281	10391	479
282	10426	442
283	10460	405
284	10491	368
285	10525	331
286	10557	294
287	10591	257
288	10624	220
289	10662	183
290	10696	147
291	10725	110
292	10759	73
293	10785	36
294	10817	0
